keys,en,tl
LOGIN_SUBMIT,Log In,Mag-log In
LOGIN_TAGLINE,"Defend the city\nSpot the scam","Depensa ang lungsod\nTukuyin ang scam"
LOGIN_EMAIL_LABEL,Email,Email
LOGIN_PASSWORD_LABEL,Password,Password
LOGIN_BUSY,Signing in...,Nagsa-sign in...
LOGIN_ERR_EMPTY,Enter your email and password.,Ilagay ang iyong email at password.
LOGIN_ERR_INVALID,That email or password is not correct.,Mali ang email o password.
LOGIN_ERR_NETWORK,No connection. Check your network and try again.,Walang koneksyon. Subukan ulit.
LOGIN_ERR_UNKNOWN,Something went wrong. Try again.,May nangyaring mali. Subukan ulit.
PWD_TITLE,Security Alert,Babala sa Seguridad
PWD_SUBTITLE,Update Temporary Password,I-update ang Pansamantalang Password
PWD_NEW_LABEL,New Password,Bagong Password
PWD_CONFIRM_LABEL,Confirm Password,Kumpirmahin ang Password
PWD_NEW_PLACEHOLDER,Enter new password,Ilagay ang bagong password
PWD_CONFIRM_PLACEHOLDER,Re-type new password,Ulitin ang bagong password
PWD_SECURE_SUBMIT,Secure Account,I-secure ang Account
PWD_ERR_EMPTY,Please fill out both fields.,Punan ang parehong field.
PWD_ERR_WEAK,Password does not meet all requirements.,Hindi natutugunan ng password ang lahat ng requirement.
PWD_RULE_LENGTH,At least 8 characters,Hindi bababa sa 8 karakter
PWD_RULE_UPPERCASE,One uppercase letter,Isang malaking titik
PWD_RULE_LOWERCASE,One lowercase letter,Isang maliit na titik
PWD_RULE_NUMBER,One number,Isang numero
PWD_RULE_SPECIAL,One special character,Isang special na karakter
PWD_ERR_MISMATCH,Passwords do not match.,Hindi magkatugma ang password.
PWD_ERR_SERVER,Could not update your password. Try again.,Hindi na-update ang password. Subukan ulit.
PWD_SUBMIT,Update Password,I-update ang Password
PWD_BUSY,Updating...,Ina-update...
LOADING_TITLE,Loading,Naglo-load
LOADING_SETTINGS,Loading settings,Nilo-load ang settings
LOADING_PROFILE,Loading profile,Nilo-load ang profile
LOADING_CONTENT,Loading briefings,Nilo-load ang briefings
LOADING_ASSETS,Syncing sprites,Sini-sync ang mga sprite
LOADING_GAME_ASSETS,Loading Game Assets...,Nilo-load ang mga asset ng laro
LOADING_ASSETS_CHECK,Checking cached sprites,Sinusuri ang naka-cache na sprites
LOADING_ASSETS_MISSING,"No Internet. Download game assets once while online.","Walang koneksyon. I-download muna ang mga asset habang online."
LOADING_ASSETS_RETRY,Retry,Subukan ulit
LOADING_SESSION,Checking session,Sinusuri ang session
LOADING_READY,Ready,Handa na
TIP_UPGRADE_DEFENSES,Tip: Keep your defenses upgraded!,Tip: I-upgrade ang iyong depensa!
TIP_CHECK_SENDER,Tip: Check the sender's full address, not the display name.,Tip: Tingnan ang buong address ng nagpadala, hindi lang ang pangalan.
TIP_HOVER_LINK,Tip: A link's text can say anything. The destination is what matters.,Tip: Kahit ano ang nakasulat sa link, ang destinasyon ang mahalaga.
TIP_URGENCY_IS_A_TELL,Tip: Urgency is a pressure tactic. Slow down and verify.,Tip: Ang pagmamadali ay taktika. Dahan-dahan at i-verify.
TIP_NEVER_SHARE_OTP,Tip: No legitimate staff will ever ask for your OTP.,Tip: Walang lehitimong staff ang hihingi ng iyong OTP.
QUIT_CONFIRM_BODY,Quit Level Blue? Your progress this session is saved.,I-quit ang Level Blue? Naka-save ang progress mo.
DASH_RANK,ELITE I,ELITE I
DASH_EXP,1450 / 2000 EXP,1450 / 2000 EXP
DASH_THREAT_POINTS,Threat Points,Threat Points
